timedelta_ms,Xacc,Yacc,Zacc
3935,8.178593,-3.629610,2.489970
3955,9.145850,-3.236961,3.399766
3975,9.461885,-3.342306,1.522712
3995,9.318233,-3.936068,0.497994
4017,7.852982,-4.232949,0.430956
4037,8.073248,-4.098873,0.785298
4057,8.418014,-3.744531,1.264138
4077,8.245630,-4.165911,0.804452
4097,7.671022,-4.836287,0.842759
4117,7.422025,-4.903325,1.244985
4137,7.431602,-4.979939,1.407791
4157,7.546524,-4.577713,1.503559
4177,8.475474,-4.175488,1.091756
4197,8.868123,-4.347870,0.852336
4217,9.184157,-3.725378,0.536301
4237,9.806650,-3.591303,1.101333
4257,8.714894,-4.922479,0.651223
4277,7.498640,-5.803545,1.896208
4297,7.738060,-5.995081,2.059013
4317,6.799533,-5.975927,2.978387
4337,8.542512,-5.889736,2.806004
4357,8.724471,-6.751649,3.026271
4377,6.607996,-9.346964,3.160346
4397,8.494628,-7.805098,4.443638
4417,8.887277,-5.736507,3.840300
4437,8.082825,-4.721366,2.978387
4457,-4.606444,-0.392649,1.695095
4477,11.923124,-3.016694,-0.229843
4499,14.614207,-2.614468,-0.095768
4519,11.587936,-6.952762,0.296881
4539,10.438720,-3.744531,0.124498
4559,8.619126,-4.501099,0.162806
4579,7.948750,-4.472369,1.369483
4599,-5.353435,-3.581726,3.648763
4619,6.665458,-4.865018,6.847417
4639,-7.220912,12.181698,19.603724
4659,3.907337,-12.756307,-2.585738
4679,7.240066,-3.160346,1.407791
4699,7.096414,-2.863465,1.139640
4719,6.291962,-2.940080,1.723825
4739,6.071695,-3.093309,1.024718
4759,6.339846,-1.379060,2.317587
4779,3.141193,-1.580173,2.240973
4799,7.402872,-4.472369,2.288857
4819,7.814674,-4.683059,3.715801
4839,5.181053,-6.177041,3.811569
4859,8.350976,-5.477933,9.672575
4879,6.981492,-6.205771,10.036493
4899,6.751649,-6.483498,5.966351
4919,7.824251,-6.550536,4.223372
4939,7.939173,-5.219360,5.803545
4959,7.374141,-4.893748,6.502652
4979,4.817134,-6.473921,3.122039
4999,10.515334,-8.398860,2.279280
5019,13.101071,-2.825158,1.953669
5039,13.742718,4.788404,5.928043
5059,17.611748,-4.012682,1.752556
5079,6.090849,-9.883265,-0.823605
5099,3.792415,-6.799533,-0.679953
5119,6.291962,-4.175488,-0.804452
5139,9.643845,-1.905785,-0.316035
5159,14.001291,-2.087744,3.907337
5179,7.996634,-4.740520,2.288857
5199,6.320693,-6.703765,1.522712
5219,5.707777,-6.885724,0.708684
5239,7.287950,-4.616021,1.034295
5259,8.226477,-2.758120,1.599327
5279,8.485051,-3.189077,0.900220
5299,7.814674,-4.175488,0.593762
5319,8.149862,-4.453215,0.603339
5339,7.690176,-4.271256,0.679953
5359,7.910442,-4.778827,1.532289
5379,7.661446,-5.104438,1.848324
5399,7.469909,-4.893748,1.656788
5419,7.603985,-4.481946,1.034295
5439,8.245630,-4.434062,0.335188
5459,8.887277,-4.252102,0.201113
5479,9.050082,-4.060566,0.497994
5508,8.638280,-4.443638,0.833182
5528,8.513782,-4.807557,0.641646
5548,7.920019,-5.094861,0.517148
5568,7.632715,-5.659893,1.082179
5588,7.623138,-5.918467,1.436521
5608,7.345411,-5.200206,1.857901
5628,7.441179,-5.343858,1.752556
5648,8.197746,-5.650316,1.436521
5668,8.686164,-7.153875,0.679953
5688,10.141838,-7.546524,2.135628
5708,9.442732,-6.483498,3.284845
5728,7.316680,-5.928043,4.146757
5748,7.508216,-4.213795,4.347870
5768,8.791509,-3.284845,2.049437
5788,11.377247,-3.744531,0.335188
5808,8.092402,-2.700660,0.909797
5828,9.825804,-4.031836,-1.407791
5848,8.925584,-4.271256,1.139640
5868,9.595961,-4.750096,2.767697
5888,8.791509,-4.635174,3.457227
5908,7.393295,-4.644751,3.830723
5928,6.272809,-4.730943,3.600879
5948,5.956774,-4.558560,2.825158
5968,8.686164,-7.872135,-4.912902
5988,6.952762,-2.882619,2.384625
6008,7.182605,-2.509123,1.905785
6028,7.029376,-2.873042,1.350330
6048,6.540959,-3.112462,1.206678
6068,6.636727,-3.936068,1.302446
6088,6.550536,-3.964798,2.059013
6108,7.029376,-4.299986,3.725378
6128,0.948104,-4.874595,10.036493
6148,7.431602,-3.706224,3.600879
6168,7.287950,-4.242526,3.629610
6188,7.345411,-3.926491,4.596867
6208,8.485051,-4.635174,6.655881
6228,7.354988,-6.148310,5.343858
6248,7.594408,-6.943185,4.616021
6268,6.799533,-6.943185,4.979939
6288,6.607996,-7.000646,6.215348
6308,6.579266,-6.090849,8.159439
6328,5.487510,-9.528923,6.627151
6348,10.180145,-10.591949,3.639187
6368,10.793061,-2.183512,-0.258574
6388,7.393295,6.224925,2.327164
6408,-3.658340,2.873042,1.848324
6428,5.114015,-7.891289,0.900220
6448,4.999093,-6.110003,0.746991
6468,6.014235,-5.094861,-0.019154
6488,12.085930,-19.613300,-14.662091
6508,14.681245,-6.349423,-1.110910
6528,6.598420,-5.659893,2.116474
6548,5.430049,-7.996634,0.919373
6568,5.851429,-6.521805,0.306458
6588,7.125144,-4.654328,1.484405
6608,8.523358,-3.371036,2.652776
6628,8.590396,-3.457227,1.877054
6648,8.236053,-3.849876,0.679953
6668,8.274361,-3.821146,-0.354342
6688,8.561666,-3.351882,0.306458
6708,8.236053,-4.156334,1.034295
6728,7.690176,-4.788404,1.417367
6748,7.192182,-5.305551,1.647211
6768,6.837840,-5.190629,1.522712
6788,7.345411,-4.529830,1.455675
6808,8.226477,-4.079720,1.216254
6828,8.283937,-4.022259,0.804452
6848,8.111555,-4.453215,0.421380
6868,8.274361,-4.529830,0.497994
6888,8.552089,-4.836287,0.708684
6908,9.232041,-4.941632,0.900220
6928,8.753201,-4.702212,0.296881
6948,8.149862,-6.033388,0.708684
6968,7.623138,-6.445191,2.336741
6988,6.952762,-5.908890,3.323152
7008,6.761226,-6.253655,2.671929
7028,6.866570,-6.311116,2.279280
7048,7.364564,-6.598420,1.800440
7068,8.619126,-7.872135,2.767697
7088,9.241618,-6.445191,3.485958
7108,7.939173,-5.535394,4.146757
7128,7.795521,-4.041412,2.566584
7148,8.714894,-4.003105,1.312023
7168,9.270349,-3.466804,-0.268151
7188,8.226477,-2.327164,2.308010
7208,11.118672,-5.037400,0.574608
7228,8.877700,-5.324705,1.177947
7248,8.025364,-4.989516,1.532289
7268,7.412448,-4.194642,2.681506
7288,7.278373,-4.367024,3.888184
7308,5.995081,-4.616021,4.587290
7328,5.803545,-3.955221,3.648763
7348,6.445191,-3.409343,1.819593
7368,7.374141,-3.045424,0.775721
7388,7.297527,-2.911349,1.302446
